Product Name,Customer Rating
Product 544,4.6
Product 545,2.7
Product 546,4.3
Product 547,3.7
Product 548,3.7
Product 549,3.9
Product 550,2.6
Product 551,3.5
Product 552,4.0
Product 553,2.8
Product 554,4.1
Product 555,2.6
Product 556,4.9
Product 557,4.1
Product 558,3.6
Product 559,3.6
Product 560,4.2
Product 561,3.0
Product 562,4.2
Product 563,3.9
Product 564,1.2
Product 565,1.0
Product 566,4.0
Product 567,4.5
Product 568,4.0
Product 569,1.1
Product 570,3.0
Product 571,3.5
Product 572,2.1
Product 573,4.8
Product 574,1.3
Product 575,4.8
Product 576,2.6
Product 577,2.9
Product 578,3.7
Product 579,3.4
Product 580,4.0
Product 581,4.5
Product 582,2.6
Product 583,3.6
Product 584,4.9
Product 585,1.1
Product 586,3.3
Product 587,3.2
Product 588,2.5
Product 589,3.7
Product 590,3.6
Product 591,2.3
Product 592,3.6
Product 593,1.4
Product 594,2.7
Product 595,1.1
Product 596,3.5
Product 597,3.1
Product 598,3.6
Product 599,2.5
Product 600,1.9
Product 601,4.8
Product 602,2.6
Product 603,3.9
Product 604,2.8
Product 605,4.5
Product 606,2.5
Product 607,3.9
Product 608,1.6
Product 609,3.0
Product 610,2.0
Product 611,2.8
Product 612,3.0
Product 613,3.1
Product 614,3.6
Product 615,1.4
Product 616,1.8
Product 617,2.7
Product 618,3.2
Product 619,4.1
Product 620,3.6
Product 621,3.4
Product 622,2.0
Product 623,3.7
Product 624,1.3
Product 625,4.1
Product 626,2.9
Product 627,1.8
Product 628,3.4
Product 629,3.1
Product 630,2.8
Product 631,1.7
Product 632,2.0
Product 633,2.5
Product 634,2.2
Product 635,3.3
Product 636,4.3
Product 637,1.5
Product 638,1.5
Product 639,2.3
Product 640,1.7
Product 641,2.1
Product 642,2.8
Product 643,1.2
Product 644,3.0
Product 645,1.1
Product 646,3.7
Product 647,2.3
Product 648,4.3
Product 649,3.2
Product 650,2.7
Product 651,2.2
Product 652,4.6
Product 653,4.9
Product 654,4.6
Product 655,2.0
Product 656,1.1
Product 657,2.9
Product 658,3.4
Product 659,1.9
Product 660,1.8
Product 661,3.5
Product 662,3.7
Product 663,1.1
Product 664,1.5
Product 665,2.3
Product 666,4.5
Product 667,2.8
Product 668,3.2
Product 669,4.4
Product 670,4.1
Product 671,1.2
Product 672,4.5
Product 673,3.2
Product 674,1.6
Product 675,4.3
Product 676,4.7
Product 677,2.0
Product 678,4.4
Product 679,4.6
Product 680,4.9
Product 681,1.1
Product 682,1.4
Product 683,3.5
Product 684,3.7
Product 685,2.3
Product 686,3.2
Product 687,2.4
Product 688,3.1
Product 689,2.0
Product 690,3.9
Product 691,1.7
Product 692,4.9
Product 693,3.1
Product 694,2.1
Product 695,3.8
Product 696,3.2
Product 697,1.7
Product 698,1.4
Product 699,4.1
Product 700,1.5
Product 701,2.8
Product 702,2.1
Product 703,4.6
Product 704,4.1
Product 705,4.6
Product 706,2.2
Product 707,1.3
Product 708,4.2
Product 709,4.1
Product 710,3.1
Product 711,4.3
Product 712,1.8
Product 713,1.7
Product 714,2.3
Product 715,2.5
Product 716,3.2
Product 717,2.2
Product 718,4.4
Product 719,2.0
Product 720,3.7
Product 721,4.0
Product 722,2.7
Product 723,1.0
Product 724,4.8
Product 725,1.3
Product 726,2.3
Product 727,1.9
Product 728,4.5
Product 729,4.3
Product 730,4.2
Product 731,2.7
Product 732,4.6
Product 733,4.4
Product 734,2.0
Product 735,3.8
Product 736,4.5
Product 737,4.6
Product 738,2.8
Product 739,4.5
Product 740,1.2
Product 741,4.5
Product 742,3.1
Product 743,4.0
Product 744,2.2
Product 745,2.9
Product 746,4.5
Product 747,4.0
Product 748,4.8
Product 749,2.9
Product 750,4.5
Product 751,4.6
Product 752,4.9
Product 753,2.7
Product 754,1.8
Product 755,2.9
Product 756,2.3
Product 757,3.3
Product 758,2.7
Product 759,1.1
Product 760,4.6
Product 761,2.7
Product 762,3.8
Product 763,3.5
Product 764,4.1
Product 765,3.6
Product 766,3.9
Product 767,3.3
Product 768,3.0
Product 769,1.7
Product 770,2.3
Product 771,3.1
Product 772,3.8
Product 773,4.0
Product 774,2.2
Product 775,4.1
Product 776,2.3
Product 777,2.0
Product 778,2.9
Product 779,2.2
Product 780,2.3
Product 781,4.1
Product 782,3.9
Product 783,4.7
Product 784,4.4
Product 785,2.9
Product 786,1.2
Product 787,3.9
Product 788,1.3
Product 789,4.4
Product 790,4.9
Product 791,1.4
Product 792,5.0
Product 793,3.8
Product 794,1.6
Product 795,2.6
Product 796,3.3
Product 797,2.9
Product 798,3.2
Product 799,4.7
Product 800,3.4
Product 801,4.2
Product 802,3.6
Product 803,2.6
Product 804,2.5
Product 805,2.0
Product 806,1.3
Product 807,1.8
Product 808,1.8
Product 809,3.2
Product 810,4.0
Product 811,3.1
Product 812,1.5
Product 813,2.7
Product 814,1.2
Product 815,4.8
Product 816,4.1
Product 817,1.7
Product 818,3.0
Product 819,4.3
Product 820,1.1
Product 821,2.3
Product 822,3.5
Product 823,4.7
Product 824,1.1
Product 825,3.0
Product 826,4.1
Product 827,1.5
Product 828,4.6
Product 829,1.7
Product 830,1.5
Product 831,2.0
Product 832,2.7
Product 833,1.4
Product 834,1.4
Product 835,2.7
Product 836,1.4
Product 837,3.0
Product 838,4.7
Product 839,1.4
Product 840,3.9
Product 841,4.0
Product 842,2.5
Product 843,4.9
Product 844,4.7
Product 845,4.7
Product 846,4.0
Product 847,2.0
Product 848,4.4
Product 849,4.4
Product 850,3.1
Product 851,2.0
Product 852,2.4
Product 853,3.3
Product 854,3.9
Product 855,2.2
Product 856,2.1
Product 857,1.9
Product 858,4.3
Product 859,2.7
Product 860,2.4
Product 861,4.3
Product 862,2.7
Product 863,3.2
Product 864,4.7
Product 865,4.7
Product 866,4.6
Product 867,2.6
Product 868,1.2
Product 869,2.9
Product 870,1.1
Product 871,4.2
Product 872,5.0
Product 873,2.5
Product 874,1.8
Product 875,3.4
Product 876,4.1
Product 877,4.0
Product 878,3.1
Product 879,1.3
Product 880,1.3
Product 881,5.0
Product 882,3.5
Product 883,4.3
Product 884,2.2
Product 885,1.7
Product 886,3.4
Product 887,4.4
Product 888,3.3
Product 889,4.3
Product 890,1.1
Product 891,3.7
Product 892,1.9
Product 893,4.2
Product 894,1.1
Product 895,2.0
Product 896,1.7
Product 897,1.2
Product 898,1.6
Product 899,3.1
Product 900,3.5
Product 901,1.7
Product 902,2.6
Product 903,2.4
Product 904,1.1
Product 905,1.8
Product 906,1.3
Product 907,1.0
Product 908,2.4
Product 909,3.1
Product 910,2.6
Product 911,4.8
Product 912,1.5
Product 913,4.1
Product 914,1.4
Product 915,2.9
Product 916,1.4
Product 917,2.7
Product 918,3.2
Product 919,1.3
Product 920,3.3
Product 921,2.8
Product 922,4.5
Product 923,2.4
Product 924,3.1
Product 925,3.2
Product 926,4.9
Product 927,3.0
Product 928,3.8
Product 929,3.4
Product 930,3.8
Product 931,1.7
Product 932,4.8
Product 933,2.9
Product 934,3.2
Product 935,1.6
Product 936,2.2
Product 937,2.0
Product 938,1.7
Product 939,4.2
Product 940,1.8
Product 941,4.1
Product 942,3.2
Product 943,3.6
Product 944,1.3
Product 945,4.8
Product 946,3.3
Product 947,3.8
Product 948,2.8
Product 949,3.7
Product 950,4.3
Product 951,4.1
Product 952,3.5
Product 953,4.8
Product 954,2.3
Product 955,3.9
Product 956,1.5
Product 957,2.1
Product 958,4.9
Product 959,5.0
Product 960,3.5
Product 961,1.8
Product 962,1.5
Product 963,1.7
Product 964,3.3
Product 965,2.6
Product 966,3.9
Product 967,5.0
Product 968,3.0
Product 969,3.7
Product 970,2.6
Product 971,1.3
Product 972,4.8
Product 973,4.3
Product 974,3.7
Product 975,3.4
Product 976,3.2
Product 977,4.7
Product 978,4.2
Product 979,3.2
Product 980,2.7
Product 981,1.7
Product 982,4.6
Product 983,3.6
Product 984,3.8
Product 985,4.5
Product 986,2.8
Product 987,3.1
Product 988,1.7
Product 989,4.5
Product 990,1.9
Product 991,4.4
Product 992,3.3
Product 993,4.3
Product 994,2.7
Product 995,1.4
Product 996,4.9
Product 997,3.1
Product 998,4.4
Product 999,1.8
Product 1000,2.2
